symbol,segment,expiry,as_of,pcr,total_call_oi,total_put_oi,delta_call_oi,delta_put_oi,top5_resistances,top5_supports,res_gaps,sup_gaps,ce_hotspot,pe_hotspot,equilibrium,equilibrium_strike,sentiment,rationale,report_text,status
AMBUJACEM,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.777,11967.0,9301.0,4248.0,2354.0,580:2463; 600:2421; 650:1054; 570:868; 590:790,650:1108; 560:1088; 580:954; 550:731; 570:709,10; 10; 10,10; 10; 10,"(580, 1243)","(575, 529)",False,,Bearish,"PCR 0.78 (<0.80) → bearish tilt; ΔCallOI 4,248 > 2,354 → bearish tilt","========================================================================
Symbol: AMBUJACEM | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 11,967
Total Put  OI: 9,301
PCR        : 0.78
ΔCall OI   : 4,248
ΔPut  OI   : 2,354
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 580:2463; 600:2421; 650:1054; 570:868; 590:790
Top-5 Supports    (PE OI): 650:1108; 560:1088; 580:954; 550:731; 570:709
Flow (ΔOI) CE hotspot: 580 | ΔOI: 1,243
Flow (ΔOI) PE hotspot: 575 | ΔOI: 529
Closest resistance gaps: 10; 10; 10
Closest support gaps   : 10; 10; 10
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.78 (<0.80) → bearish tilt; ΔCallOI 4,248 > 2,354 → bearish tilt
========================================================================",ok
ANGELONE,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.72,5859.0,4219.0,669.0,174.0,2600:1098; 2550:1015; 2700:929; 2500:717; 2800:615,2500:891; 2300:722; 2400:660; 2550:370; 2450:321,50; 50; 100,50; 50; 50,"(2600, 136)","(2550, 137)",False,,Bearish,PCR 0.72 (<0.80) → bearish tilt; ΔCallOI 669 > 174 → bearish tilt,"========================================================================
Symbol: ANGELONE | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,859
Total Put  OI: 4,219
PCR        : 0.72
ΔCall OI   : 669
ΔPut  OI   : 174
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 2600:1098; 2550:1015; 2700:929; 2500:717; 2800:615
Top-5 Supports    (PE OI): 2500:891; 2300:722; 2400:660; 2550:370; 2450:321
Flow (ΔOI) CE hotspot: 2600 | ΔOI: 136
Flow (ΔOI) PE hotspot: 2550 | ΔOI: 137
Closest resistance gaps: 50; 50; 100
Closest support gaps   : 50; 50; 50
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.72 (<0.80) → bearish tilt; ΔCallOI 669 > 174 → bearish tilt
========================================================================",ok
APOLLOHOSP,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.541,5098.0,2759.0,560.0,240.0,8600:847; 8000:719; 8800:473; 8100:387; 7900:372,7500:557; 7700:313; 7100:229; 7800:213; 8000:177,100; 100; 200,100; 200; 200,"(8600, 259)","(7100, 53)",False,,Bearish,PCR 0.54 (<0.80) → bearish tilt; ΔCallOI 560 > 240 → bearish tilt,"========================================================================
Symbol: APOLLOHOSP | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,098
Total Put  OI: 2,759
PCR        : 0.54
ΔCall OI   : 560
ΔPut  OI   : 240
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 8600:847; 8000:719; 8800:473; 8100:387; 7900:372
Top-5 Supports    (PE OI): 7500:557; 7700:313; 7100:229; 7800:213; 8000:177
Flow (ΔOI) CE hotspot: 8600 | ΔOI: 259
Flow (ΔOI) PE hotspot: 7100 | ΔOI: 53
Closest resistance gaps: 100; 100; 200
Closest support gaps   : 100; 200; 200
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.54 (<0.80) → bearish tilt; ΔCallOI 560 > 240 → bearish tilt
========================================================================",ok
ASHOKLEY,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.601,10076.0,6052.0,197.0,-2.0,140:2519; 145:1472; 150:1320; 142:565; 160:488,140:1099; 135:690; 130:601; 125:517; 120:342,2; 3; 5,5; 5; 5,"(142, 98)","(129, 23)",True,140.0,Bearish,PCR 0.60 (<0.80) → bearish tilt; ΔCallOI 197 > -2 → bearish tilt,"========================================================================
Symbol: ASHOKLEY | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 10,076
Total Put  OI: 6,052
PCR        : 0.60
ΔCall OI   : 197
ΔPut  OI   : -2
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 140:2519; 145:1472; 150:1320; 142:565; 160:488
Top-5 Supports    (PE OI): 140:1099; 135:690; 130:601; 125:517; 120:342
Flow (ΔOI) CE hotspot: 142 | ΔOI: 98
Flow (ΔOI) PE hotspot: 129 | ΔOI: 23
Closest resistance gaps: 2; 3; 5
Closest support gaps   : 5; 5; 5
------------------------------------------------------------------------
⚪ Equilibrium Zone: 140
Sentiment: Bearish
Why      : PCR 0.60 (<0.80) → bearish tilt; ΔCallOI 197 > -2 → bearish tilt
========================================================================",ok
ASIANPAINT,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.666,13261.0,8828.0,1842.0,470.0,2600:2102; 2580:1055; 2700:1017; 2820:1005; 2500:984,2240:1268; 2500:853; 2400:733; 2300:675; 2440:654,20; 80; 100,40; 60; 60,"(2600, 480)","(2240, 89)",False,,Bearish,"PCR 0.67 (<0.80) → bearish tilt; ΔCallOI 1,842 > 470 → bearish tilt","========================================================================
Symbol: ASIANPAINT | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 13,261
Total Put  OI: 8,828
PCR        : 0.67
ΔCall OI   : 1,842
ΔPut  OI   : 470
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 2600:2102; 2580:1055; 2700:1017; 2820:1005; 2500:984
Top-5 Supports    (PE OI): 2240:1268; 2500:853; 2400:733; 2300:675; 2440:654
Flow (ΔOI) CE hotspot: 2600 | ΔOI: 480
Flow (ΔOI) PE hotspot: 2240 | ΔOI: 89
Closest resistance gaps: 20; 80; 100
Closest support gaps   : 40; 60; 60
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.67 (<0.80) → bearish tilt; ΔCallOI 1,842 > 470 → bearish tilt
========================================================================",ok
ASTRAL,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.541,5440.0,2941.0,383.0,-57.0,1500:1085; 1600:808; 1460:679; 1440:568; 1580:433,1400:799; 1460:365; 1440:334; 1360:231; 1500:217,20; 20; 40,20; 40; 40,"(1500, 333)","(1500, 33)",False,,Bearish,PCR 0.54 (<0.80) → bearish tilt; ΔCallOI 383 > -57 → bearish tilt,"========================================================================
Symbol: ASTRAL | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,440
Total Put  OI: 2,941
PCR        : 0.54
ΔCall OI   : 383
ΔPut  OI   : -57
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1500:1085; 1600:808; 1460:679; 1440:568; 1580:433
Top-5 Supports    (PE OI): 1400:799; 1460:365; 1440:334; 1360:231; 1500:217
Flow (ΔOI) CE hotspot: 1500 | ΔOI: 333
Flow (ΔOI) PE hotspot: 1500 | ΔOI: 33
Closest resistance gaps: 20; 20; 40
Closest support gaps   : 20; 40; 40
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.54 (<0.80) → bearish tilt; ΔCallOI 383 > -57 → bearish tilt
========================================================================",ok
AUROPHARMA,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.839,8491.0,7123.0,780.0,484.0,1160:1403; 1200:1192; 1180:1103; 1100:1061; 1260:952,1060:1698; 1100:1256; 1000:733; 1040:579; 1120:544,20; 20; 60,20; 20; 40,"(1160, 296)","(1120, 121)",False,,Bearish,PCR 0.84 (~neutral); ΔCallOI 780 > 484 → bearish tilt,"========================================================================
Symbol: AUROPHARMA | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 8,491
Total Put  OI: 7,123
PCR        : 0.84
ΔCall OI   : 780
ΔPut  OI   : 484
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1160:1403; 1200:1192; 1180:1103; 1100:1061; 1260:952
Top-5 Supports    (PE OI): 1060:1698; 1100:1256; 1000:733; 1040:579; 1120:544
Flow (ΔOI) CE hotspot: 1160 | ΔOI: 296
Flow (ΔOI) PE hotspot: 1120 | ΔOI: 121
Closest resistance gaps: 20; 20; 60
Closest support gaps   : 20; 20; 40
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.84 (~neutral); ΔCallOI 780 > 484 → bearish tilt
========================================================================",ok
DMART,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.481,9670.0,4652.0,517.0,146.0,4300:1663; 4500:1218; 4200:1184; 4700:980; 4400:883,4200:887; 4100:753; 4000:675; 4300:477; 4150:374,100; 100; 100,50; 50; 100,"(4300, 159)","(3900, 56)",False,,Bearish,PCR 0.48 (<0.80) → bearish tilt; ΔCallOI 517 > 146 → bearish tilt,"========================================================================
Symbol: DMART | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 9,670
Total Put  OI: 4,652
PCR        : 0.48
ΔCall OI   : 517
ΔPut  OI   : 146
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 4300:1663; 4500:1218; 4200:1184; 4700:980; 4400:883
Top-5 Supports    (PE OI): 4200:887; 4100:753; 4000:675; 4300:477; 4150:374
Flow (ΔOI) CE hotspot: 4300 | ΔOI: 159
Flow (ΔOI) PE hotspot: 3900 | ΔOI: 56
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 50; 50; 100
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.48 (<0.80) → bearish tilt; ΔCallOI 517 > 146 → bearish tilt
========================================================================",ok
AXISBANK,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.621,19400.0,12038.0,2222.0,931.0,1300:2455; 1350:1952; 1250:1884; 1260:1529; 1240:1528,1140:1627; 1200:1247; 1230:1173; 1240:806; 1100:782,10; 10; 40,10; 30; 40,"(1240, 506)","(1140, 465)",False,,Bearish,"PCR 0.62 (<0.80) → bearish tilt; ΔCallOI 2,222 > 931 → bearish tilt","========================================================================
Symbol: AXISBANK | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 19,400
Total Put  OI: 12,038
PCR        : 0.62
ΔCall OI   : 2,222
ΔPut  OI   : 931
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1300:2455; 1350:1952; 1250:1884; 1260:1529; 1240:1528
Top-5 Supports    (PE OI): 1140:1627; 1200:1247; 1230:1173; 1240:806; 1100:782
Flow (ΔOI) CE hotspot: 1240 | ΔOI: 506
Flow (ΔOI) PE hotspot: 1140 | ΔOI: 465
Closest resistance gaps: 10; 10; 40
Closest support gaps   : 10; 30; 40
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.62 (<0.80) → bearish tilt; ΔCallOI 2,222 > 931 → bearish tilt
========================================================================",ok
BSE,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.833,15920.0,13258.0,-506.0,1155.0,2500:3422; 2600:2391; 2700:2259; 2800:1733; 2850:1191,2400:1969; 2500:1967; 2300:1677; 2200:1174; 2100:1085,50; 100; 100,100; 100; 100,"(2700, 459)","(2500, 259)",False,,Bullish,"PCR 0.83 (~neutral); ΔPutOI 1,155 > -506 → bullish tilt","========================================================================
Symbol: BSE | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 15,920
Total Put  OI: 13,258
PCR        : 0.83
ΔCall OI   : -506
ΔPut  OI   : 1,155
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 2500:3422; 2600:2391; 2700:2259; 2800:1733; 2850:1191
Top-5 Supports    (PE OI): 2400:1969; 2500:1967; 2300:1677; 2200:1174; 2100:1085
Flow (ΔOI) CE hotspot: 2700 | ΔOI: 459
Flow (ΔOI) PE hotspot: 2500 | ΔOI: 259
Closest resistance gaps: 50; 100; 100
Closest support gaps   : 100; 100; 100
------------------------------------------------------------------------
Sentiment: Bullish
Why      : PCR 0.83 (~neutral); ΔPutOI 1,155 > -506 → bullish tilt
========================================================================",ok
BAJAJ-AUTO,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.756,13313.0,10071.0,769.0,716.0,9000:1588; 10000:1509; 9100:1479; 9500:1392; 10200:1286,9000:1168; 7800:965; 8000:879; 8500:836; 8900:828,100; 200; 400,100; 200; 400,"(9000, 355)","(7800, 458)",True,9000.0,Bearish,PCR 0.76 (<0.80) → bearish tilt; ΔCallOI 769 > 716 → bearish tilt,"========================================================================
Symbol: BAJAJ-AUTO | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 13,313
Total Put  OI: 10,071
PCR        : 0.76
ΔCall OI   : 769
ΔPut  OI   : 716
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 9000:1588; 10000:1509; 9100:1479; 9500:1392; 10200:1286
Top-5 Supports    (PE OI): 9000:1168; 7800:965; 8000:879; 8500:836; 8900:828
Flow (ΔOI) CE hotspot: 9000 | ΔOI: 355
Flow (ΔOI) PE hotspot: 7800 | ΔOI: 458
Closest resistance gaps: 100; 200; 400
Closest support gaps   : 100; 200; 400
------------------------------------------------------------------------
⚪ Equilibrium Zone: 9000
Sentiment: Bearish
Why      : PCR 0.76 (<0.80) → bearish tilt; ΔCallOI 769 > 716 → bearish tilt
========================================================================",ok
